organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Acanthopagrus latus,connexin,yes,no,annotated_family_member_found,high,gjb1a,ncbi_gene,A,119031269,gjb1a,gap junction protein beta 1a,4,0,"GJB*[Gene Symbol] AND ""Acanthopagrus latus""[Organism]"
Arapaima gigas,connexin,yes,no,annotated_family_member_found,high,GJA10,uniprot,A,A0ACF8EAZ1,GJA10,Gap junction alpha-10 protein-like,12,0,"organism_name:""Arapaima gigas"" AND gene:GJA*"
Bajacalifornia burragei,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Epinephelus cyanopodus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hemibarbus labeo,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hucho bleekeri,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Micropterus salmoides,connexin,yes,no,annotated_family_member_found,high,gjb3,ncbi_gene,A,119910089,gjb3,gap junction protein beta 3,8,0,"connexin[All Fields] AND ""Micropterus salmoides""[Organism]"
Parabramis pekinensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ambystoma mexicanum,connexin,yes,no,annotated_family_member_found,high,GJB3,ncbi_gene,A,138503076,GJB3,gap junction protein beta 3,7,0,"GJB*[Gene Symbol] AND ""Ambystoma mexicanum""[Organism]"
Anomaloglossus baeobatrachus,connexin,yes,no,annotated_family_member_found,high,GJA10,ncbi_gene,A,142297237,GJA10,gap junction protein alpha 10,10,0,"connexin[All Fields] AND ""Anomaloglossus baeobatrachus""[Organism]"
Aquarana catesbeiana,connexin,yes,no,annotated_family_member_found,high,GJA1,ncbi_gene,A,141140240,GJA1,gap junction protein alpha 1,9,0,"GJA*[Gene Symbol] AND ""Aquarana catesbeiana""[Organism]"
Ascaphus truei,connexin,yes,no,annotated_family_member_found,high,GJD2,ncbi_gene,A,142502362,GJD2,gap junction protein delta 2,2,0,"GJD*[Gene Symbol] AND ""Ascaphus truei""[Organism]"
Bombina bombina,connexin,yes,no,annotated_family_member_found,high,GJA10,ncbi_gene,A,128657654,GJA10,gap junction protein alpha 10,4,0,"GJA*[Gene Symbol] AND ""Bombina bombina""[Organism]"
Bombina variegata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Boulenophrys sangzhiensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bufo bufo,connexin,yes,no,annotated_family_member_found,high,GJB1,ncbi_gene,A,120977104,GJB1,gap junction protein beta 1,3,0,"GJB*[Gene Symbol] AND ""Bufo bufo""[Organism]"
